Edges,Nodes,Density,Components,Min_spl,Max_spl,Median_spl,Mean_spl,Sd_spl,Min_bc,Max_bc,Median_bc,Mean_bc,Sd_bc,Min_cc,Max_cc,Median_cc,Mean_cc,Sd_cc,Min_dc,Max_dc,Median_dc,Mean_dc,Sd_dc
7973,3086,0,137,0,33,9,8.914,2.998,0,0.402,0,0.002,0.01,0,0.177,0.115,0.111,0.028,0,0.057,0.001,0.001,0.002
6505,3389,0,747,0,61,16,18.303,8.898,0,0.145,0,0.003,0.009,0,0.124,0.044,0.041,0.018,0,0.071,0,0.001,0.001
22,39,0.014,39,0,5,1,1.127,1.353,0,0.008,0,0,0.002,0,0.078,0,0.017,0.019,0,0.105,0.026,0.029,0.028
6918,2836,0,136,0,221,9,21.07,38.064,0,0.42,0.001,0.006,0.019,0,0.173,0.107,0.096,0.04,0,0.072,0.001,0.001,0.002
10322,4961,0,856,0,67,14,16.004,8.262,0,0.246,0,0.002,0.007,0,0.133,0.056,0.052,0.022,0,0.056,0,0,0.001
9955,4401,0,256,0,225,11,19.268,31.627,0,0.423,0,0.003,0.013,0,0.168,0.091,0.082,0.033,0,0.055,0,0.001,0.002
4668,1896,0.001,87,0,43,9,9.505,3.558,0,0.339,0.001,0.004,0.012,0,0.178,0.107,0.104,0.029,0,0.077,0.002,0.002,0.004
7481,3006,0,125,0,34,9,9.552,3.709,0,0.513,0,0.002,0.011,0,0.183,0.11,0.106,0.029,0,0.054,0.001,0.001,0.002
13870,6191,0,684,0,50,12,12.28,4.579,0,0.31,0,0.001,0.006,0,0.139,0.079,0.073,0.025,0,0.023,0,0,0
7546,3587,0,269,0,229,11,20.984,34.423,0,0.451,0,0.005,0.015,0,0.164,0.084,0.077,0.033,0,0.067,0,0.001,0.002
8999,3989,0,287,0,39,10,10.962,4.281,0,0.503,0,0.002,0.01,0,0.172,0.095,0.089,0.028,0,0.06,0.001,0.001,0.002
10327,4954,0,848,0,67,14,16.002,8.261,0,0.247,0,0.002,0.007,0,0.133,0.056,0.053,0.022,0,0.056,0,0,0.001
18,33,0.017,33,0,5,1,1.243,1.388,0,0.012,0,0.001,0.003,0,0.083,0,0.022,0.024,0,0.125,0.031,0.034,0.037
35,53,0.012,53,0,6,0,0.575,0.502,0,0.004,0,0,0.001,0,0.076,0.019,0.016,0.016,0,0.076,0.019,0.025,0.021
8255,3881,0,234,0,239,13,29.743,46.842,0,0.352,0.001,0.006,0.021,0,0.138,0.078,0.069,0.034,0,0.056,0,0.001,0.001
9228,4512,0,353,0,45,12,13.089,4.966,0,0.462,0,0.002,0.009,0,0.157,0.078,0.074,0.023,0,0.053,0,0,0.001
4659,1887,0.001,82,0,35,9,9.245,0.474,0,0.338,0.001,0.004,0.013,0,0.176,0.108,0.104,0.029,0,0.077,0.002,0.002,0.004
4941,2053,0.001,127,0,34,9,9.292,3.496,0,0.547,0.001,0.003,0.014,0,0.18,0.113,0.105,0.029,0,0.056,0.001,0.002,0.003
8802,4119,0,317,0,229,11,19.666,32.501,0,0.506,0,0.004,0.013,0,0.163,0.087,0.08,0.034,0,0.059,0,0.001,0.001
11226,5290,0,849,0,247,14,22.575,30.44,0,0.208,0,0.003,0.009,0,0.132,0.056,0.051,0.025,0,0.045,0,0,0.001
8965,4339,0,765,0,61,15,16.283,8.242,0,0.147,0,0.002,0.008,0,0.128,0.054,0.05,0.021,0,0.056,0,0,0.001
7500,3756,0,801,0,62,15,17.195,8.85,0,0.135,0,0.003,0.009,0,0.13,0.048,0.045,0.019,0,0.064,0,0.001,0.001
4987,2048,0.001,141,0,33,9,9.179,3.393,0,0.542,0.001,0.003,0.014,0,0.184,0.112,0.105,0.03,0,0.063,0.001,0.002,0.003
8110,3706,0,216,0,47,12,12.553,5.13,0,0.387,0.001,0.002,0.009,0,0.137,0.083,0.08,0.025,0,0.04,0,0.001,0.001
10010,4420,0,256,0,225,11,19.209,31.569,0,0.424,0,0.003,0.013,0,0.168,0.091,0.082,0.033,0,0.054,0,0.001,0.002
9557,4729,0,498,0,48,13,13.322,4.953,0,0.42,0,0.002,0.008,0,0.146,0.073,0.069,0.023,0,0.051,0,0,0.001
8981,4408,0,770,0,247,15,24.298,32.59,0,0.238,0,0.004,0.011,0,0.128,0.052,0.048,0.023,0,0.055,0,0,0.001
58,80,0.009,80,0,39,1.25,5.033,3.715,0,0.061,0.001,0.02,0.024,0,0.024,0.02,0.014,0.01,0,0.05,0.025,0.018,0.011
10102,4065,0,96,0,226,10,26.383,44.667,0,0.43,0,0.006,0.017,0,0.196,0.106,0.094,0.046,0,0.061,0,0.001,0.002
58,80,0.009,80,0,39,10,11.906,9.726,0,0.061,0.001,0.02,0.024,0,0.024,0.02,0.014,0.01,0,0.05,0.025,0.018,0.011
8811,4072,0,324,0,51,12,12.918,5.659,0,0.409,0,0.002,0.008,0,0.135,0.08,0.075,0.026,0,0.04,0,0.001,0.001
7809,3920,0,333,0,43,13,13.703,5.074,0,0.452,0,0.002,0.01,0,0.15,0.072,0.07,0.023,0,0.062,0,0.001,0.001
7582,3608,0,277,0,229,11,20.911,34.375,0,0.458,0,0.005,0.015,0,0.163,0.084,0.078,0.033,0,0.067,0,0.001,0.002
5376,2216,0.001,129,0,36,9,9.396,3.454,0,0.52,0.001,0.003,0.013,0,0.184,0.108,0.104,0.03,0,0.07,0.001,0.002,0.003
9011,4418,0,770,0,247,15,24.262,32.557,0,0.238,0,0.004,0.011,0,0.128,0.052,0.048,0.023,0,0.055,0,0,0.001
7377,3445,0,200,0,49,12,12.487,5.294,0,0.397,0.001,0.003,0.009,0,0.136,0.084,0.08,0.024,0,0.042,0,0.001,0.001
