Edges,Nodes,Density,Components,Min_spl,Max_spl,Median_spl,Mean_spl,Sd_spl,Min_bc,Max_bc,Median_bc,Mean_bc,Sd_bc,Min_cc,Max_cc,Median_cc,Mean_cc,Sd_cc,Min_dc,Max_dc,Median_dc,Mean_dc,Sd_dc
566,306,0.006,63,0,20,8,8.236,3.007,0,0.275,0.007,0.016,0.032,0,0.178,0.097,0.088,0.039,0,0.068,0.009,0.012,0.007
7149,3299,0,309,0,31,11,10.743,3.288,0,0.292,0,0.002,0.01,0,0.167,0.091,0.084,0.028,0,0.036,0,0.001,0.001
1329,711,0.002,213,0,36,10,10.534,4.648,0,0.165,0.001,0.006,0.015,0,0.11,0.058,0.049,0.03,0,0.061,0.004,0.005,0.004
26261,12788,0,1555,0,50,15,15.13,4.495,0,0.262,0,0,0.005,0,0.148,0.061,0.057,0.022,0,0.038,0,0,0
1824,1022,0.001,178,0,35,13,13.006,4.602,0,0.343,0.003,0.008,0.019,0,0.133,0.063,0.059,0.027,0,0.051,0.002,0.003,0.002
2048,1014,0.001,160,0,40,10,10.051,3.84,0,0.208,0.002,0.006,0.018,0,0.146,0.085,0.077,0.03,0,0.06,0.003,0.003,0.004
35219,16966,0,1755,0,37,12,12.228,3.358,0,0.183,0,0,0.004,0,0.218,0.076,0.074,0.02,0,0.042,0,0,0
1114,526,0.004,102,0,26,9,9.101,3.43,0,0.242,0.002,0.011,0.028,0,0.142,0.092,0.082,0.034,0,0.121,0.007,0.008,0.009
120,89,0.015,71,0,7,3,2.689,1.701,0,0.036,0,0.001,0.005,0,0.152,0.022,0.031,0.029,0,0.113,0.022,0.03,0.017
6811,3144,0,863,0,30,10,9.698,3.176,0,0.328,0,0.001,0.01,0,0.147,0.082,0.075,0.029,0,0.056,0,0.001,0.002
645,349,0.005,50,0,23,9,9.371,3.639,0,0.347,0.009,0.018,0.032,0,0.173,0.093,0.083,0.036,0,0.071,0.008,0.01,0.007
